Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Population,Referred a Friend,Number of Referrals,Tenure in Months,Internet Service,Phone Service,Avg Monthly GB Download,Unlimited Data,Contract,Monthly Charge,Monthly Extra Data Charge,Monthly Long Distance Charge,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Add-on Services,Streaming TV,Streaming Movies,Streaming Music,Streaming Services,Satisfaction Score,Customer Status,Churn,Churn Reason
0,77,1,1,0,0,San Diego,92122,34902,1,1,24,1,1,12,1,Month-to-Month,92.9604,0.0,16.1,0,0,1,0,1,1,1,1,3,2,Churned,1,Competitor made better offer
1,70,1,0,0,0,San Diego,92122,34902,0,0,54,1,1,5,1,One Year,80.5574,0.0,12.08,1,1,0,1,3,1,1,1,3,1,Churned,1,Competitor made better offer
1,74,1,0,0,0,San Diego,92122,34902,0,0,2,1,1,10,1,Month-to-Month,69.525,0.0,13.17,0,0,0,0,0,0,0,0,0,3,Churned,1,Don't know
1,77,1,0,0,0,San Diego,92122,34902,0,0,21,1,0,8,1,Month-to-Month,40.0048,0.0,0.0,1,0,0,0,1,1,0,0,1,1,Churned,1,Competitor made better offer
0,71,1,1,0,0,San Diego,92122,34902,0,0,27,1,0,13,0,Month-to-Month,29.8185,5.1852,0.0,1,0,0,0,1,0,0,0,0,1,Churned,1,Competitor made better offer
0,79,1,1,0,0,San Diego,92122,34902,1,1,11,0,1,0,0,Month-to-Month,19.5227,0.0,29.54,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor made better offer
1,66,1,1,0,0,San Diego,92122,34902,1,2,55,1,1,27,0,Month-to-Month,88.6309,1.6364,42.82,0,1,1,0,2,0,0,0,0,1,Churned,1,Competitor made better offer
0,77,1,0,0,0,San Diego,92122,34902,0,0,3,1,1,14,1,Month-to-Month,77.9,0.0,9.22,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor made better offer
1,80,1,0,0,0,Thermal,92274,17018,0,0,1,1,1,17,0,Month-to-Month,75.3,20.0,35.09,0,0,1,0,1,0,0,0,0,2,Churned,1,Network reliability
1,77,1,0,0,0,Riverside,92509,63999,0,0,5,1,0,26,1,Month-to-Month,26.21,0.0,0.0,0,1,0,0,1,0,0,0,0,2,Churned,1,Limited range of services
1,77,1,0,0,0,Hemet,92544,39264,0,0,20,1,1,12,0,Month-to-Month,89.12,4.0,48.73,0,1,1,0,2,0,1,0,1,1,Churned,1,Competitor had better devices
1,72,1,1,0,0,Moreno Valley,92557,46214,1,4,5,1,1,22,1,Month-to-Month,66.96,0.0,45.76,0,0,0,0,0,0,0,0,0,1,Churned,1,Product dissatisfaction
1,80,1,1,0,0,Perris,92571,26357,1,2,27,1,1,25,1,Month-to-Month,71.4574,0.0,7.02,1,0,0,0,1,0,0,0,0,1,Churned,1,Attitude of support person
1,74,1,0,0,0,Anaheim,92807,36301,0,0,4,1,1,24,1,Month-to-Month,86.55,0.0,48.35,0,0,1,0,1,1,0,0,1,1,Churned,1,Competitor had better devices
1,68,1,0,0,0,Brea,92823,1408,0,0,1,1,1,21,1,Month-to-Month,85.7,0.0,45.81,0,0,0,0,0,1,0,0,1,1,Churned,1,Competitor had better devices
1,78,1,1,0,0,Yorba Linda,92887,20893,1,3,65,1,1,28,1,Month-to-Month,104.4062,0.0,18.39,1,0,1,0,2,1,1,0,2,1,Churned,1,Attitude of support person
0,75,1,1,0,0,Summerland,93067,576,1,3,49,1,1,14,1,Month-to-Month,92.801,0.0,22.92,0,1,0,0,1,0,1,0,1,2,Churned,1,Competitor made better offer
0,77,1,1,0,0,Santa Barbara,93101,31727,1,1,43,1,1,5,1,Month-to-Month,109.0209,0.0,14.52,0,1,1,1,3,1,1,0,2,2,Churned,1,Competitor made better offer
0,80,1,1,0,0,Alpaugh,93201,1054,0,0,56,1,1,12,1,One Year,103.4759,0.0,48.8,1,0,1,0,2,1,1,0,2,1,Churned,1,Competitor offered higher download speeds
0,75,1,1,0,0,Camp Nelson,93208,191,1,7,20,1,1,10,1,Month-to-Month,94.9825,0.0,5.31,0,0,0,0,0,1,1,1,3,1,Churned,1,Competitor had better devices
1,69,1,0,0,0,Delano,93215,37280,0,0,2,1,1,19,1,Month-to-Month,80.75,0.0,47.47,0,1,0,0,1,0,1,1,2,2,Churned,1,Attitude of support person
1,74,1,0,0,0,Fellows,93224,626,0,0,8,0,1,0,0,Month-to-Month,20.5375,0.0,27.95,0,0,0,0,0,0,0,0,0,2,Churned,1,Attitude of support person
0,76,1,0,0,0,Temecula,92592,46171,0,0,52,1,0,18,0,Month-to-Month,49.0558,0.5769,0.0,0,1,0,0,1,1,1,1,3,2,Churned,1,Competitor made better offer
0,69,1,0,0,0,San Diego,92129,47224,0,0,2,1,1,27,1,Month-to-Month,45.55,0.0,43.99,1,0,0,0,1,0,0,0,0,2,Churned,1,Competitor made better offer
0,72,1,1,0,0,San Diego,92129,47224,1,1,33,1,1,8,1,Month-to-Month,94.1076,0.0,27.78,0,0,0,0,0,1,1,0,2,3,Churned,1,Poor expertise of online support
1,69,1,0,0,0,San Diego,92129,47224,0,0,30,1,1,19,1,Month-to-Month,91.9383,0.0,45.88,1,1,1,0,3,0,0,0,0,1,Churned,1,Competitor made better offer
0,73,1,0,0,0,San Diego,92129,47224,0,0,20,1,1,13,0,Month-to-Month,92.14,6.0,44.44,0,0,1,0,1,1,1,0,2,3,Churned,1,Competitor made better offer
1,65,1,0,0,0,Biola,93606,807,0,0,46,1,1,20,1,One Year,105.9739,0.0,2.37,1,1,1,0,3,1,1,1,3,1,Churned,1,Competitor made better offer
0,74,1,1,0,0,Selma,93662,26213,1,1,7,1,1,11,1,Month-to-Month,92.05,0.0,21.91,0,0,0,0,0,1,1,0,2,3,Churned,1,Competitor made better offer
1,65,1,0,0,0,Squaw Valley,93675,3146,0,0,4,1,1,18,1,Month-to-Month,73.2,0.0,36.93,0,0,0,0,0,1,0,0,1,3,Churned,1,Moved
1,66,1,0,0,0,Fresno,93706,35790,0,0,55,1,1,7,0,One Year,100.1691,1.8182,37.38,0,0,1,0,1,1,1,1,3,3,Churned,1,Competitor offered higher download speeds
0,71,1,1,0,0,Jolon,93928,254,1,1,20,1,1,24,1,Month-to-Month,73.175,0.0,5.37,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
0,65,1,0,0,0,San Francisco,94102,28998,0,0,9,1,1,15,1,Month-to-Month,102.0667,0.0,48.71,0,0,1,0,1,1,1,1,3,1,Churned,1,Competitor had better devices
0,69,1,0,0,0,San Francisco,94108,13723,0,0,10,1,1,24,0,Month-to-Month,68.865,3.0,5.46,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
0,75,1,1,0,0,San Francisco,94114,30587,0,0,1,1,1,6,1,Month-to-Month,73.55,0.0,36.92,0,0,0,0,0,0,0,0,0,2,Churned,1,Price too high
1,75,1,0,0,0,San Francisco,94130,1458,0,0,3,1,1,11,1,Month-to-Month,68.35,0.0,41.9,0,1,0,0,1,0,0,0,0,1,Churned,1,Product dissatisfaction
1,68,1,0,0,0,Palo Alto,94304,1723,0,0,4,1,1,17,1,Month-to-Month,90.025,0.0,6.68,0,0,0,0,0,0,1,0,1,1,Churned,1,Competitor had better devices
0,71,1,0,0,0,Birds Landing,94512,138,0,0,35,1,1,19,0,Month-to-Month,97.0229,3.4286,20.83,0,0,1,0,1,1,1,0,2,1,Churned,1,Don't know
0,80,1,0,0,0,Byron,94514,10153,0,0,2,1,1,11,1,Month-to-Month,42.575,0.0,26.62,0,0,0,0,0,0,0,0,0,2,Churned,1,Don't know
0,66,1,0,0,0,Fremont,94539,46917,0,0,8,1,1,27,1,Month-to-Month,104.0438,0.0,11.57,1,0,0,1,2,1,1,1,3,1,Churned,1,Competitor had better devices
0,73,1,1,0,0,Livermore,94550,75929,1,2,44,1,0,28,1,Month-to-Month,30.9023,0.0,0.0,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
0,77,1,1,0,0,Napa,94558,63947,1,1,62,1,1,16,1,One Year,102.9573,0.0,7.11,0,1,1,0,2,1,1,1,3,1,Churned,1,Competitor had better devices
1,76,1,1,0,0,Pleasanton,94566,36669,1,1,33,1,1,15,1,Month-to-Month,80.5,0.0,33.19,0,1,0,0,1,0,0,0,0,2,Churned,1,Competitor offered more data
1,65,1,0,0,0,San Ramon,94583,44078,0,0,4,1,1,23,1,Month-to-Month,106.1125,0.0,49.5,0,0,0,0,0,1,1,1,3,2,Churned,1,Competitor made better offer
0,75,1,1,0,0,Pleasanton,94588,28568,1,1,27,1,1,23,1,Month-to-Month,70.1463,0.0,10.6,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor had better devices
0,75,1,0,0,0,Berkeley,94704,21205,0,0,8,1,1,29,1,Month-to-Month,102.425,0.0,40.45,0,0,1,0,1,1,1,0,2,1,Churned,1,Attitude of support person
1,68,1,1,0,0,Berkeley,94707,11889,1,1,3,1,1,2,1,Month-to-Month,91.25,0.0,25.77,1,0,0,1,2,1,0,0,1,1,Churned,1,Attitude of support person
1,71,1,0,0,0,Berkeley,94710,8157,0,0,8,1,1,9,1,Month-to-Month,91.2438,0.0,42.93,0,0,1,0,1,1,1,0,2,1,Churned,1,Competitor had better devices
0,74,1,0,0,0,Greenbrae,94904,12010,0,0,14,1,1,24,1,Month-to-Month,90.4357,0.0,11.31,0,0,0,0,0,1,1,0,2,3,Churned,1,Competitor offered more data
0,77,1,0,0,0,Forest Knolls,94933,1025,0,0,12,1,0,10,1,Month-to-Month,43.9125,0.0,0.0,0,0,1,1,2,0,1,0,1,1,Churned,1,Competitor had better devices
1,73,1,0,0,0,Freedom,95019,4753,0,0,13,1,1,21,1,Month-to-Month,72.3346,0.0,40.37,0,0,1,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
1,68,1,0,0,0,Gilroy,95020,49968,0,0,11,1,1,27,1,Month-to-Month,95.2455,0.0,3.96,0,0,0,0,0,1,1,0,2,2,Churned,1,Attitude of support person
0,74,1,1,0,0,Los Gatos,95030,13290,1,1,17,1,1,16,1,Month-to-Month,95.4382,0.0,28.18,0,0,1,0,1,1,1,0,2,3,Churned,1,Competitor offered more data
0,65,1,1,0,0,San Jose,95128,32804,1,1,39,1,1,26,1,Month-to-Month,109.8667,0.0,33.25,0,1,1,0,2,1,1,1,3,3,Churned,1,Attitude of support person
1,73,1,1,0,0,San Jose,95135,15798,1,5,11,1,1,27,1,Month-to-Month,103.0591,0.0,17.25,0,0,1,1,2,1,1,0,2,3,Churned,1,Competitor offered more data
1,74,1,1,0,0,Glencoe,95232,21,1,1,3,1,1,9,1,Month-to-Month,74.6833,0.0,3.29,0,0,0,0,0,1,0,0,1,2,Churned,1,Attitude of service provider
0,80,1,0,0,0,Columbia,95310,2144,0,0,21,1,1,14,1,Month-to-Month,58.8643,0.0,34.62,0,0,1,0,1,1,0,0,1,1,Churned,1,Competitor had better devices
1,76,1,0,0,0,Escondido,92027,48690,0,0,16,1,1,16,1,Month-to-Month,95.575,0.0,38.75,0,0,0,0,0,1,1,0,2,2,Churned,1,Don't know
1,73,1,0,0,0,Lakewood,90712,30173,0,0,46,1,1,30,1,One Year,96.1783,0.0,6.13,0,1,0,0,1,1,1,0,2,2,Churned,1,Competitor had better devices
1,70,1,1,0,0,Fulton,95439,476,1,1,68,1,1,24,1,Month-to-Month,90.1118,0.0,24.13,0,1,0,0,1,0,1,0,1,1,Churned,1,Competitor had better devices
0,75,1,1,0,0,Nice,95464,2223,1,1,7,1,1,27,1,Month-to-Month,96.6714,0.0,13.63,0,0,0,0,0,1,1,0,2,2,Churned,1,Network reliability
0,74,1,1,0,0,Alderpoint,95511,261,1,1,15,1,1,22,1,Month-to-Month,89.7033,0.0,45.25,0,0,0,0,0,0,1,0,1,1,Churned,1,Competitor had better devices
0,76,1,0,0,0,Bayside,95524,1689,0,0,16,1,1,22,1,Month-to-Month,80.0625,0.0,19.18,0,0,0,0,0,1,0,0,1,3,Churned,1,Network reliability
1,75,1,0,0,0,Loleta,95551,1447,0,0,1,1,1,18,1,Month-to-Month,69.25,0.0,29.68,0,0,0,0,0,0,0,0,0,2,Churned,1,Attitude of support person
1,74,1,0,0,0,Rio Dell,95562,3284,0,0,1,1,0,5,1,Month-to-Month,25.2,0.0,0.0,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor made better offer
1,73,1,0,0,0,Davis,95618,648,0,0,13,1,1,24,1,Month-to-Month,99.2308,0.0,19.03,0,0,0,0,0,1,1,1,3,1,Churned,1,Competitor made better offer
1,69,1,0,0,0,Folsom,95630,51855,0,0,1,1,1,24,1,Month-to-Month,79.2,0.0,20.06,0,0,0,0,0,1,0,0,1,3,Churned,1,Competitor made better offer
1,75,1,1,0,0,Madison,95653,844,1,1,34,1,1,4,1,Month-to-Month,94.6338,0.0,2.88,0,1,1,0,2,0,1,0,1,1,Churned,1,Competitor had better devices
1,65,1,0,0,0,Pleasant Grove,95668,901,0,0,4,1,1,10,1,Month-to-Month,110.7125,0.0,12.68,0,1,1,0,2,1,1,1,3,1,Churned,1,Competitor had better devices
1,77,1,0,0,0,Sheridan,95681,1219,0,0,2,1,1,18,1,Month-to-Month,85.425,0.0,19.27,0,0,0,0,0,1,1,0,2,3,Churned,1,Poor expertise of online support
0,67,1,0,0,0,Wheatland,95692,3600,0,0,9,1,1,18,1,Month-to-Month,81.3889,0.0,30.8,0,0,0,0,0,0,1,0,1,2,Churned,1,Attitude of support person
1,78,1,0,0,0,Rancho Cordova,95742,299,0,0,5,1,1,9,1,Month-to-Month,69.93,0.0,42.33,0,0,1,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
0,65,1,0,0,0,Canyon Dam,95923,86,0,0,22,1,1,8,0,Month-to-Month,94.6795,4.5455,40.18,0,0,0,0,0,1,1,1,3,1,Churned,1,Competitor made better offer
0,74,1,0,0,0,Dobbins,95935,614,0,0,19,1,1,9,1,Month-to-Month,93.4632,0.0,39.97,0,1,0,0,1,1,0,0,1,1,Churned,1,Competitor had better devices
0,70,1,0,0,0,Forest Ranch,95942,1351,0,0,15,1,1,19,1,Month-to-Month,76.4433,0.0,46.38,0,0,0,0,0,0,0,0,0,3,Churned,1,Attitude of support person
0,69,1,0,0,0,Grass Valley,95949,17922,0,0,1,1,1,20,1,Month-to-Month,74.7,0.0,11.34,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor had better devices
1,76,1,0,0,0,Nevada City,95959,17269,0,0,1,1,0,26,0,Month-to-Month,25.8,20.0,0.0,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor had better devices
0,71,1,0,0,0,Escondido,92027,48690,0,0,10,1,1,14,1,Month-to-Month,89.835,0.0,41.37,0,0,0,0,0,1,1,0,2,1,Churned,1,Competitor made better offer
1,76,1,0,0,0,Fallbrook,92028,42239,0,0,3,1,1,6,0,Month-to-Month,42.3667,3.3333,30.14,0,0,0,0,0,0,0,0,0,3,Churned,1,Competitor made better offer
0,77,1,1,0,0,Lewiston,96052,1845,1,1,12,1,1,19,1,Month-to-Month,79.1833,0.0,6.97,0,0,0,0,0,0,1,0,1,2,Churned,1,Competitor made better offer
0,74,1,0,0,0,Palo Cedro,96073,4931,0,0,2,1,1,11,1,Month-to-Month,82.7,0.0,6.51,0,1,0,0,1,0,0,0,0,2,Churned,1,Competitor made better offer
0,77,1,0,0,0,Round Mountain,96084,459,0,0,1,1,1,20,0,Month-to-Month,88.8,10.0,49.6,0,0,1,0,1,1,0,0,1,1,Churned,1,Competitor made better offer
0,76,1,1,0,0,San Diego,92130,28201,1,1,13,1,1,5,1,Month-to-Month,89.95,0.0,1.47,0,1,0,1,2,0,1,0,1,1,Churned,1,Competitor made better offer
1,77,1,0,0,0,San Diego,92130,28201,0,0,23,1,1,23,1,Month-to-Month,99.7217,0.0,31.17,0,1,0,0,1,1,1,0,2,2,Churned,1,Competitor made better offer
1,80,1,1,0,0,San Diego,92130,28201,1,1,17,1,1,6,1,Month-to-Month,86.0853,0.0,36.82,1,0,1,0,2,0,0,0,0,1,Churned,1,Competitor made better offer
0,68,1,0,0,0,San Diego,92130,28201,0,0,17,1,1,2,1,Month-to-Month,45.3294,0.0,40.93,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor made better offer
1,79,1,0,0,0,San Diego,92130,28201,0,0,42,1,1,17,1,Month-to-Month,84.3179,0.0,9.53,0,0,0,0,0,1,0,0,1,2,Churned,1,Competitor made better offer
0,65,1,0,0,0,San Diego,92130,28201,0,0,1,1,1,16,1,Month-to-Month,79.1,0.0,42.3,0,0,0,0,0,1,0,0,1,3,Churned,1,Competitor made better offer
0,68,1,0,0,0,San Diego,92121,4258,0,0,1,1,1,12,1,Month-to-Month,50.15,0.0,39.78,0,0,1,0,1,0,0,0,0,2,Churned,1,Competitor made better offer
1,72,1,0,0,0,Hermosa Beach,90254,18693,0,0,1,1,1,15,1,Month-to-Month,69.6,0.0,34.51,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor had better devices
1,66,1,0,0,0,Buena Park,90620,44442,0,0,41,1,1,23,1,Month-to-Month,114.378,0.0,27.95,1,1,1,0,3,1,1,1,3,1,Churned,1,Attitude of support person
0,68,1,0,0,0,Buena Park,90621,33528,0,0,13,1,1,4,0,Month-to-Month,92.3962,10.7692,26.11,0,0,0,0,0,1,1,1,3,1,Churned,1,Competitor had better devices
0,69,1,1,0,0,Long Beach,90813,63136,1,1,32,1,1,23,1,Month-to-Month,82.5641,0.0,5.99,0,0,0,0,0,0,1,1,2,1,Churned,1,Attitude of support person
0,76,1,1,0,0,South Pasadena,91030,23984,1,1,32,1,1,10,1,Month-to-Month,83.1594,0.0,49.6,0,0,0,0,0,0,1,1,2,1,Churned,1,Competitor had better devices
0,70,1,1,0,0,Glendale,91202,21990,1,1,57,1,0,3,1,Month-to-Month,45.1395,0.0,0.0,0,0,0,0,0,1,1,1,3,2,Churned,1,Attitude of support person
0,71,1,0,0,0,Glendale,91204,17015,0,0,1,1,1,14,1,Month-to-Month,45.1,0.0,15.28,0,0,0,0,0,0,0,0,0,2,Churned,1,Attitude of support person
0,75,1,0,0,0,Reseda,91335,68018,0,0,1,1,0,26,1,Month-to-Month,43.3,0.0,0.0,0,1,1,0,2,0,1,0,1,3,Churned,1,Poor expertise of online support
1,67,1,0,0,0,Sylmar,91342,81986,0,0,38,1,1,27,1,Month-to-Month,59.2276,0.0,26.1,1,1,0,0,2,0,0,0,0,1,Churned,1,Attitude of support person
1,65,1,1,0,0,Burbank,91502,11517,1,1,35,1,1,22,1,Month-to-Month,104.3814,0.0,15.98,1,1,0,1,3,1,0,0,1,1,Churned,1,Attitude of support person
1,80,1,0,0,0,North Hollywood,91606,45358,0,0,1,1,1,14,1,Month-to-Month,45.1,0.0,15.24,0,0,0,0,0,0,0,0,0,1,Churned,1,Competitor had better devices
0,71,1,1,0,0,Chino,91710,75319,1,1,30,1,1,29,1,Month-to-Month,50.9167,0.0,4.65,0,1,0,0,1,0,0,0,0,3,Churned,1,Attitude of support person
1,70,1,0,0,0,Claremont,91711,34716,0,0,5,1,1,20,1,Month-to-Month,75.68,0.0,12.27,0,0,0,0,0,0,1,0,1,3,Churned,1,Attitude of support person
0,73,1,0,0,0,San Diego,92117,51213,0,0,1,1,1,6,1,Month-to-Month,93.55,0.0,30.17,0,0,0,0,0,1,1,0,2,1,Churned,1,Competitor made better offer
0,78,1,1,0,0,San Diego,92117,51213,1,1,58,1,1,19,1,One Year,108.4009,0.0,49.38,1,1,1,0,3,1,1,0,2,1,Churned,1,Competitor made better offer
1,76,1,0,0,0,San Diego,92117,51213,0,0,16,1,1,7,1,Month-to-Month,84.3844,0.0,17.51,0,0,0,0,0,1,0,0,1,2,Churned,1,Attitude of support person
1,73,1,0,0,0,San Diego,92117,51213,0,0,1,1,1,27,0,Month-to-Month,69.95,10.0,22.5,0,0,0,0,0,0,0,0,0,2,Churned,1,Competitor made better offer
1,68,1,1,0,0,San Diego,92122,34902,1,1,5,1,1,11,0,Month-to-Month,74.33,2.0,47.28,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor made better offer
0,79,1,0,0,0,Desert Center,92239,964,0,0,21,1,1,7,1,Month-to-Month,96.681,0.0,42.27,0,0,1,0,1,1,1,0,2,1,Churned,1,Product dissatisfaction
1,67,1,0,0,0,Escondido,92027,48690,0,0,43,1,1,10,1,Month-to-Month,106.993,0.0,31.83,1,1,0,1,3,1,1,0,2,1,Churned,1,Competitor made better offer
1,69,1,1,0,0,Fallbrook,92028,42239,1,1,32,1,1,6,1,Month-to-Month,91.5938,0.0,33.74,0,0,0,0,0,1,1,0,2,3,Churned,1,Competitor made better offer
1,72,1,0,0,0,Wrightwood,92397,4253,0,0,1,1,1,13,1,Month-to-Month,70.55,0.0,18.2,0,0,0,0,0,0,0,0,0,3,Churned,1,Attitude of service provider
0,75,1,1,0,0,Moreno Valley,92555,12743,1,1,29,1,1,28,0,Month-to-Month,103.5914,1.3793,25.78,0,0,1,0,1,1,1,1,3,3,Churned,1,Attitude of service provider
0,67,1,1,0,0,Murrieta,92563,18311,1,1,13,1,1,6,1,Month-to-Month,94.8962,0.0,31.7,0,0,0,0,0,1,1,1,3,1,Churned,1,Competitor had better devices
0,72,1,1,0,0,Nuevo,92567,7344,1,1,7,1,1,17,1,Month-to-Month,75.4143,0.0,8.92,0,0,0,0,0,0,0,0,0,3,Churned,1,Attitude of service provider
1,68,1,0,0,0,Irvine,92606,17621,0,0,2,1,1,28,1,Month-to-Month,89.625,0.0,21.57,0,0,1,0,1,0,1,1,2,1,Churned,1,Competitor had better devices
1,68,1,0,0,0,Corona Del Mar,92625,13422,0,0,1,1,1,2,1,Month-to-Month,91.3,0.0,43.61,0,0,0,0,0,1,1,1,3,3,Churned,1,Attitude of service provider
0,75,1,1,0,0,Midway City,92655,8660,1,1,7,1,1,22,1,Month-to-Month,66.7929,0.0,16.05,0,0,0,0,0,0,0,0,0,2,Churned,1,Attitude of service provider
0,74,1,1,0,0,Newport Beach,92661,4242,1,1,57,1,1,21,1,Month-to-Month,95.2114,0.0,49.91,0,1,1,0,2,0,1,0,1,2,Churned,1,Attitude of support person
1,78,1,1,0,0,Newport Beach,92663,22133,1,4,1,1,1,23,1,Month-to-Month,100.8,0.0,17.35,0,0,1,0,1,1,1,0,2,1,Churned,1,Attitude of service provider
0,66,1,1,0,0,Santa Ana,92706,37879,1,2,17,1,1,8,1,Month-to-Month,72.5529,0.0,1.05,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
1,73,1,0,0,0,Oak View,93022,6503,0,0,3,1,1,20,1,Month-to-Month,73.65,0.0,18.38,0,0,1,0,1,1,0,0,1,2,Churned,1,Attitude of service provider
0,79,1,1,0,0,Santa Barbara,93101,31727,1,1,66,1,1,25,1,Month-to-Month,103.3659,0.0,28.86,0,0,1,0,1,1,1,0,2,1,Churned,1,Competitor had better devices
0,69,1,1,0,0,Santa Barbara,93110,15757,1,1,69,1,1,4,1,Two Year,106.0609,0.0,48.88,0,1,1,1,3,1,1,0,2,3,Churned,1,Attitude of service provider
1,65,1,1,0,0,Temecula,92592,46171,1,2,15,1,1,3,0,Month-to-Month,83.8867,7.3333,44.13,0,0,1,1,2,0,0,0,0,3,Churned,1,Competitor made better offer
1,68,1,0,0,0,Terra Bella,93270,5868,0,0,56,1,1,4,1,One Year,98.4045,0.0,34.58,0,1,1,0,2,1,1,0,2,3,Churned,1,Attitude of service provider
